Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),250,222,243,226,195,191,162,204,239,196,209,...,2.337
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),258,240,254,231,200,205,171,212,251,204,224,...,2.450
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,1,2,0,0,1,2,0,0,0,0,3,...,9
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,1,5,0,0,1,3,0,0,0,0,7,...,17
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,263,236,358,274,338,304,361,313,361,371,310,...,3.489
HOMICÍDIO CULPOSO OUTROS,19,9,14,24,16,5,10,16,11,14,14,...,152
TENTATIVA DE HOMICÍDIO,320,291,346,308,285,260,265,292,313,272,315,...,3.267
LESÃO CORPORAL SEGUIDA DE MORTE,13,4,9,4,5,6,4,7,9,5,6,...,72
LESÃO CORPORAL DOLOSA,11.422,11.333,13.482,11.402,11.691,10.726,11.038,12.264,13.248,13.095,13.590,...,133.291
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4.833,4.716,6.238,5.114,5.905,6.063,5.823,6.433,6.160,6.006,5.740,...,63.031
LESÃO CORPORAL CULPOSA - OUTRAS,258,246,300,265,281,267,248,273,264,273,228,...,2.903
LATROCÍNIO,12,11,13,16,13,13,16,9,16,14,12,...,145
Nº DE VÍTIMAS EM LATROCÍNIO,12,11,14,16,14,13,16,9,16,14,13,...,148
TOTAL DE ESTUPRO (4),1.156,1.110,1.384,1.126,1.299,1.112,1.061,1.306,1.249,1.267,1.269,...,13.339
ESTUPRO,314,267,329,265,285,259,243,257,297,291,282,...,3.089
ESTUPRO DE VULNERÁVEL,842,843,1.055,861,1.014,853,818,1.049,952,976,987,...,10.250
TOTAL DE ROUBO - OUTROS (1),20.782,18.418,21.605,18.344,19.264,18.110,18.312,18.901,17.899,19.301,18.592,...,209.528
ROUBO - OUTROS,20.273,17.954,20.992,17.868,18.746,17.627,17.855,18.414,17.422,18.804,18.019,...,203.974
ROUBO DE VEÍCULO,3.172,2.945,3.592,3.079,2.957,2.820,2.837,2.821,3.046,3.328,3.293,...,33.890
ROUBO A BANCO,0,0,1,1,1,2,1,1,1,0,2,...,10
ROUBO DE CARGA,509,464,612,475,517,481,456,486,476,497,571,...,5.544
FURTO - OUTROS,47.688,44.001,51.596,45.232,50.173,48.218,46.379,49.684,48.174,50.660,47.788,...,529.593
FURTO DE VEÍCULO,7.716,6.974,8.848,7.522,8.353,7.774,7.882,7.901,7.494,8.177,8.094,...,86.735
